,Title,Average Score,Score Count,Game Modes
218,The Waylanders,60.0,3,Single player
219,Factory Town,70.0,3,Single player
220,Deadly Days,60.0,3,Single player
221,Clicker Heroes 2,60.0,3,Single player
222,Fugl,71.5,3,Single player
223,Intruder,80.0,3,Multiplayer
224,Cogmind,80.0,3,Single player
225,Null Vector,78.5,3,Single player
225,Null Vector,78.5,3,Multiplayer
225,Null Vector,78.5,3,Co-operative
226,Broke Protocol: Online City RPG,50.0,3,Single player
226,Broke Protocol: Online City RPG,50.0,3,Multiplayer
226,Broke Protocol: Online City RPG,50.0,3,Co-operative
226,Broke Protocol: Online City RPG,50.0,3,Massively Multiplayer Online (MMO)
227,Guns'n'Stories: Bulletproof VR,71.5,3,Single player
228,CAT Interstellar,60.0,3,Single player
229,Head Shot,50.0,3,Multiplayer
230,UBoat,60.0,3,Single player
231,Atomic Society,70.0,3,Single player
232,Pylon: Rogue,62.0,3,Single player
233,Onward,80.0,3,Single player
233,Onward,80.0,3,Multiplayer
233,Onward,80.0,3,Co-operative
234,Quarantine,60.0,3,Single player
235,The Spatials: Galactology,70.0,3,Single player
236,Wayward,80.0,3,Single player
236,Wayward,80.0,3,Multiplayer
236,Wayward,80.0,3,Co-operative
237,Dreambreak,51.66666666666666,3,Single player
238,Holodrive,79.0,3,Multiplayer
239,Saurian,60.0,3,Single player
240,Empires of the Undergrowth,80.0,3,Single player
241,Wartile,70.0,3,Single player
241,Wartile,70.0,3,Multiplayer
242,KeeperRL,80.0,3,Single player
243,Project Aura,50.0,3,Single player
244,1... 2... 3... Kick It!: Drop That Beat Like an Ugly Baby,40.0,3,Single player
245,Rising World,80.0,3,Single player
245,Rising World,80.0,3,Multiplayer
245,Rising World,80.0,3,Co-operative
246,Starforge,10.17757790959444,3,Single player
246,Starforge,10.17757790959444,3,Multiplayer
247,Fabledom,83.0,2,Single player
248,Kukoos: Lost Pets,61.5,2,Single player
248,Kukoos: Lost Pets,61.5,2,Multiplayer
249,GetsuFumaDen: Undying Moon,70.5,2,Single player
250,Fuzz Force: Spook Squad,70.0,2,Single player
251,Knock on the Coffin Lid,70.0,2,Single player
252,Streamer Daily,70.0,2,Single player
253,Soviet Jump Game,80.0,2,Multiplayer
253,Soviet Jump Game,80.0,2,Massively Multiplayer Online (MMO)
254,Card Hog,80.0,2,Single player
254,Card Hog,80.0,2,Multiplayer
254,Card Hog,80.0,2,Co-operative
255,Comanche,60.0,2,Single player
255,Comanche,60.0,2,Multiplayer
256,Undying,67.0,2,Single player
257,Killsquad,72.5,2,Single player
257,Killsquad,72.5,2,Multiplayer
257,Killsquad,72.5,2,Co-operative
258,Little Witch Nobeta,70.5,2,Single player
259,Ashes of Oahu,50.0,2,Single player
260,Timeflow: Time and Money Simulator,50.0,2,Single player
260,Timeflow: Time and Money Simulator,50.0,2,Multiplayer
261,Last Oasis,60.0,2,Single player
261,Last Oasis,60.0,2,Multiplayer
261,Last Oasis,60.0,2,Massively Multiplayer Online (MMO)
262,Odd Realm,70.0,2,Single player
263,No Time to Relax,70.0,2,Single player
263,No Time to Relax,70.0,2,Multiplayer
264,Pax Nova,50.0,2,Single player
265,XO,70.0,2,Single player
266,Never Breakup,60.0,2,Multiplayer
266,Never Breakup,60.0,2,Co-operative
267,Newfound Courage,70.0,2,Single player
268,CryoFall,50.0,2,Single player
268,CryoFall,50.0,2,Multiplayer
268,CryoFall,50.0,2,Co-operative
268,CryoFall,50.0,2,Massively Multiplayer Online (MMO)
269,Godhood,50.0,2,Single player
270,Dead or School,67.5,2,Single player
271,This Land Is My Land,70.0,2,Single player
272,Blast Zone! Tournament,50.0,2,Single player
272,Blast Zone! Tournament,50.0,2,Multiplayer
