,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1700860,1700860,Strings of Divinity | The Spell Plague,Epitaph Games,Epitaph Games,,5,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
769720,769720,Island of Deception,Storm Studio,Yooreka Studio,,98,62,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1476140,1476140,Night Stalkers,FreelancerStudios,FreelancerStudios,,2,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1447710,1447710,Death By FrostByte,Stormee Games,Stormee Games,,1,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1326660,1326660,Cannon Father,Two Scoop Studio,Two Scoop Studio,,7,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1245930,1245930,Flaming Friday Night,HiderumStudios,HiderumStudios,,3,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
2537330,2537330,Up to the Unknown,Averous Arex,Arxia Studio,,2,0,0,"0 .. 20,000",0,0,0,0,899,899,0,0
444650,444650,Endciv,Crowbox,Crowbox,,23,45,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1466170,1466170,Merchant of Phenistoria,Vecteur-Jeux,Vecteur-Jeux,,4,4,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1110210,1110210,Adam's Ascending,Parable Worlds,Parable Worlds,,2,2,0,"0 .. 20,000",0,0,0,0,499,499,0,0
820890,820890,Blood Bond - Into the Shroud (Enhanced Edition),W.R.K.S Games,W.R.K.S Games,,6,12,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1869280,1869280,INTO THE CTHULHU MYTHOLOGY,Saradoraon,Saradoraon,,6,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
2284000,2284000,Running Riot,Party Moose Games,Party Moose Games,,5,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
2159450,2159450,Realm of Dread,Delta Bright,Delta Bright,,9,3,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1736680,1736680,Xio: Survival,FOUR,Dirty Bird Games,,8,18,0,"0 .. 20,000",0,0,0,0,499,499,0,0
765370,765370,RTS Commander: Smash the Rebels,F-Games,JTS Development,,0,4,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1377160,1377160,Dragonium,Shieldom Games,Shieldom Games,,2,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
2718560,2718560,Maze!,Bini Games,Bini Games,,2,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
587390,587390,LOR - League of Runners,Strong Cube,Strong Cube,,8,14,0,"0 .. 20,000",0,0,0,0,0,0,0,0
2526060,2526060,Vapor Up! With Man with Apple,Sixdots,SSASSY,,5,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
749540,749540,Wild Wolf,Altai Game Studio,Altai Game Studio,,70,77,0,"0 .. 20,000",0,0,0,0,999,999,0,0
374150,374150,Concealed Intent,Jarrah Technology,Jarrah Technology,,20,9,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1518680,1518680,Travel Fanz,Spaghetti Code Ltd,Spaghetti Code Ltd,,3,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
2452650,2452650,Hell Throne,BoomBit,BoomBit,,14,0,0,"0 .. 20,000",0,0,0,0,1599,1599,0,0
1497780,1497780,无眠夜曲,在酒楼上,在酒楼上,,33,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
970730,970730,Ball Out,Forceight,Forceight,,35,6,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1387200,1387200,Covert Commando,Four Pixels Games,Four Pixels Games,,7,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
856670,856670,Present for Manager,Three Sea Rocks,Three Sea Rocks,,14,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1123500,1123500,Hell of Men : Blood Brothers,"Whacky Squad Studio, 10Loups Games",wow wow Games,,20,8,0,"0 .. 20,000",0,0,0,0,1799,1799,0,0
1232510,1232510,Teleporter: World of Gamers (Alpha),Teleporter Realities Inc.,Teleporter Realities Inc.,,47,10,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1282770,1282770,Virtual Presenter Pro,Anxious Software Inc,Anxious Software Inc,,0,2,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1070780,1070780,Under Pressure,Kawaiisun Games,Kawaiisun Games,,76,14,0,"0 .. 20,000",0,0,0,0,0,0,0,0
854770,854770,WTF,Racing Bros,ANPA.US,,84,80,0,"0 .. 20,000",0,0,0,0,99,99,0,0
466220,466220,Kingdom of Loot,EPICBEYOND Studios,EPICBEYOND Studios,,196,171,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1807590,1807590,SALVATIONLAND,ERK Games,ERK Games,,11,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
2025830,2025830,Brutal Japan | 猟奇の日本,838s Maniacs,838s Maniacs,,19,9,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1749200,1749200,Hostile Planet: Survival,Aliens Developers,Aliens Developers,,64,31,0,"0 .. 20,000",0,0,0,0,699,699,0,0
867420,867420,Andor - Wrecking Dawn,Planescape Game Studio,Planescape Game Studio,,76,29,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1297030,1297030,Sycamore,[untitledDev],[untitledDev],,4,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
2019700,2019700,New Citizen - Alpha,Specpixel Entertainment,Specpixel Entertainment,,5,10,0,"0 .. 20,000",0,0,0,0,2499,2499,0,0
1967520,1967520,Ski3,Titanzzz,Titanzzz,,7,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1596580,1596580,SPYCITY,SHIBO GAMES,SHIBO GAMES,,24,4,0,"0 .. 20,000",0,0,0,0,199,199,0,0
